EmployeeID,FirstName,LastName,Email,Phone,EmpAddress,City,EmpState,ZipCode,DepartmentID,JobTitleID,EmployeeTypeID
105600,Beverly,Sandstrom,bsandstrom@unr.edu,7755551211,1664 N Virginia St,Reno,NV,89557,5002,6001,1000
105601,Carol,Burnette,cburnette@unr.edu,7755551212,1664 N Virginia St,Reno,NV,89557,5002,6002,1000
105602,Jonathan,Front,jfront@unr.edu,7755551213,1664 N Virginia St,Reno,NV,89557,5002,6002,1000
105603,Brenda,Beardsley,bbeardsley@unr.edu,7755551214,1664 N Virginia St,Reno,NV,89557,5002,6002,1000
105604,Robert,Langley,rlangley@unr.edu,7755551215,1664 N Virginia St,Reno,NV,89557,5002,6002,1000
105605,Charles,Montgomery,cmontgomery@unr.edu,7755551216,1664 N Virginia St,Reno,NV,89557,5000,6003,1000
105606,Victoria,Chambers,vchambers@unr.edu,7755551217,1664 N Virginia St,Reno,NV,89557,5006,6004,1004
105607,Daniel,Huntington,dhuntington@unr.edu,7755551218,1664 N Virginia St,Reno,NV,89557,5006,6005,1004
105608,Patrick,Nelson,pnelson@nevada.unr.edu,7755551219,1664 N Virginia St,Reno,NV,89557,5010,6006,1005
105609,Carol,Aguilar,caguilar@unr.edu,7755551301,1664 N Virginia St,Reno,NV,89557,5002,6002,1006
105610,George,Jimenez,gljimenez@unr.edu,7555551302,1664 N Virginia St,Reno,NV,89557,5002,6002,1006
105611,Hanna,Aurora,hsaurora@unr.edu,7555551303,1664 N Virginia St,Reno,NV,89557,5002,6002,1006
105612,Jonathan,Beach,jcbeach@unr.edu,7555551304,1665 N Virginia St,Reno,NV,89557,5002,6002,1006
105613,Jack,Hastings,jhastings@unr.edu,7555551305,1666 N Virginia St,Reno,NV,89557,5002,6002,1006
105614,Karen,Pepper,kapepper@unr.edu,7555551306,1667 N Virginia St,Reno,NV,89557,5012,6003,1006
105615,Kevin,Rasthmus,krasthmus@unr.edu,7555551307,1668 N Virginia St,Reno,NV,89557,5013,6004,1006
105616,Loraine,Crowley,lvcrowley@nevada.unr.edu,7555551308,1669 N Virginia St,Reno,NV,89557,5017,6006,1006
105617,Mike,Rogers,mcrogers@unr.edu,7555551309,1670 N Virginia St,Reno,NV,89557,5019,6003,1006
