ContactID,FirstName,LastName,EmailAddress,PhoneNumber
1,Axel,Kaye,akaye@ucsb.edu,7755551269
2,Enid,Kornish,ekornish@ucsb.edu,7755551269
3,Emma,Sherman,esherman@unr.edu,7755551241
4,Jamie,Myers,jmyers@unr.edu,7755551216
5,Lilly,Mejia,lmejia@unr.edu,7755551233
6,Jonathen,Thornton,jthornton@unr.edu,7755551249
7,Laura,Fuller,lfuller@unr.edu,7755551267
8,Mildred,Harmon,mharmon@unr.edu,7755551250
9,Irma,Figueroa,ifigueroa@unr.edu,7755551266
10,Igor,Osborne,iosborne@unr.edu,7755551248
11,Richard,Park,rpark@unr.edu,7755551251
12,Karen,Joyce,kjoyce@earthobservatory.nasa.gov,7755551263
13,Kevin,Moran,kmoran@unr.edu,7755551265
14,Bray,Walker,bwalker@ucsb.edu,7755551269
15,Robert,Armondson,rarmondson@earthobservatory.nasa.gov,7755551263
16,David,Watson,dwatson@dhhamilton.com,7755551247
17,Pamela,Hunt,phunt@unr.edu,7755551252
18,Kinsley,Sharp,ksharp@unr.edu,7755551264
19,Leon,Mcdonald,lmcdonald@unr.edu,7755551246
20,Jerry,Gardner,jgardner@unr.edu,7755551253
21,Prima,Parat,pparat@unr.edu,7755551275
22,Malarie,Parsons,mparsons@unr.edu,7755551245
23,Jerome,Field,jfield@unr.edu,7755551254
24,Madison,Naylor,mnaylor@blm.gov,7755551262
25,Mya,Reed,mreed@unr.edu,7755551268
26,Manuel,Williamson,mwilliamson@minerals.nv.gov,7755551229
27,Adam,Wise,awise@govmail.state.nv.us,7755551240
28,Daniel,Waters,dwaters@govmail.state.nv.us,7755551244
29,Glen,Abbott,gabbott@unr.edu,7755551255
30,River,Herbert,rherbert@govmail.state.nv.us,7755551261
31,Merrick,Nicholson,mnicholson@minerals.nv.gov,7755551272
32,John,Cunningham,jcunningham@unr.edu,7755551215
33,Terry,Spencer,tspencer@unr.edu,7755551217
34,Jack,Romero,jromero@unr.edu,7755551218
35,Nelson,Austin,naustin@unr.edu,7755551219
36,Matt,Thomas,mthomas@unr.edu,7755551220
37,Anthony,Carey,acarey@unr.edu,7755551221
38,Jacob,Mann,jmann@usgs.gov,7755551239
39,Kramer,Khan,kkhan@unr.edu,7755551256
40,Charles,Patterson,cpatterson@unr.edu,7755551212
41,Sam,Hawkins,shawkins@unr.edu,7755551213
42,Raymond,Stickland,rstickland@unr.edu,7755551214
43,Albert,Cruz,acruz@unr.edu,7755551222
44,Wendy,McKenna,wmckenna@unlv.edu,7755551228
45,Velma,Elliott,velliott@unr.edu,7755551257
46,Peter,Terry,pterry@unr.edu,7755551258
47,Janice,Reynolds,jreynolds@mines.unr.edu,7755551270
48,Hannah,Palmer,hpalmer@unr.nevada.edu,7755551235
49,Alexander,Stanley,astanley@udayton.edu,7755551230
50,Jake,Alexander,jalexander@unr.edu,7755551236
51,Damian,Garrett,dgarrett@snwa.com,7755551243
52,Samuel,Allen,sallen@unr.edu,7755551259
53,Mary,Jimenez,mjimenez@mines.unr.edu,7755551237
54,Ryan,Barnett,rbarnett@unr.edu,7755551260
55,Rowan,Petterson,rpetterson@unr.edu,7755551276
56,Gloria,Rossi,grossi@hydro.unr.edu,7755551271
57,Avery,Gallegos,agallegos@usgs.gov,7755551274
58,Mason,Black,mblack@cabnr.unr.edu,7755551273
59,George,Hamilton,ghamilton@unr.edu,7755551223
60,Wyatt,Love,wlove@unr.edu,7755551224
61,Cameron,Taylor,ctaylor@unr.edu,7755551225
62,Margarett,Stevenson,mstevenson@gmail.com,7755551234
63,Sylvester,Jones,sjones@unr.edu,7755551238
64,Sarah,Burns,sburns@unce.unr.edu,7755551232
65,Camilla,Gibbs,cgibbs@unr.edu,7755551226
66,Don,Gibson,dgibson@unr.edu,7755551242
